ausonius.ephemeris_id_est_totius_diei_negotium,urn:cts:latinLit:stoa0045.stoa008,,,
ausonius.epicedion_in_patrem,urn:cts:latinLit:stoa0045.stoa009,,,
ausonius.epigrammata_ausonii_de_diversis_rebus,urn:cts:latinLit:stoa0045.stoa010,,,
ausonius.epistularum,urn:cts:latinLit:stoa0045.stoa011,,,
ausonius.epitaphia_heroum_qui_bello_troico_interfuerunt,urn:cts:latinLit:stoa0045.stoa012,,,
ausonius.gratiarum_actio,urn:cts:latinLit:stoa0045.stoa014,,,
ausonius.griphus_ternarii_numeri,urn:cts:latinLit:stoa0045.stoa015,,,
ausonius.libri_de_fastis_conclusio,urn:cts:latinLit:stoa0045.stoa017,,,
ausonius.ludus_septem_sapientum,urn:cts:latinLit:stoa0045.stoa018,,,
ausonius.mosella,urn:cts:latinLit:stoa0045.stoa019,,,
ausonius.oratio_consulis_ausonii_versibus_rhopalicis,urn:cts:latinLit:stoa0045.stoa020,,,
ausonius.ordo_urbium_nobilium,urn:cts:latinLit:stoa0045.stoa021,,,
ausonius.parentalia,urn:cts:latinLit:stoa0045.stoa022,,,
ausonius.praefatiunculae,urn:cts:latinLit:stoa0045.stoa025,,,
ausonius.precationes,urn:cts:latinLit:stoa0045.stoa026,,,
ausonius.technopaegnion,urn:cts:latinLit:stoa0045.stoa028,,,
ausonius.versus_paschales_pro_augusto_dicti,urn:cts:latinLit:stoa0045.stoa027,,,
bede.historiam_ecclesiasticam_gentis_anglorum,urn:cts:latinLit:stoa0054.stoa006,,,
boethius.consolatio_philosophiae,urn:cts:latinLit:stoa0058.stoa001,,,
boethius.de_fide_catholica,urn:cts:latinLit:stoa0058.stoa006,,,
boethius.liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium,urn:cts:latinLit:stoa0058.stoa023,,,
boethius.quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona,urn:cts:latinLit:stoa0058.stoa003,,,
boethius.quomodo_trinitas,urn:cts:latinLit:stoa0058.stoa025,,,
boethius.utrum_pater,urn:cts:latinLit:stoa0058.stoa028,,,
caesar.de_bello_civili,urn:cts:latinLit:phi0448.phi002,,,
caesar.de_bello_gallico,urn:cts:latinLit:phi0448.phi001,,,
caesar_augustus.res_gestae_divi_augusti,urn:cts:latinLit:phi1221.phi007,,,
catullus.carmina,urn:cts:latinLit:phi0472.phi001,,,
celsus.de_medicina,urn:cts:latinLit:phi0836.phi002,,,
cicero.academica,urn:cts:latinLit:phi0474.phi045,,,
