ID	SOURCE_ID	TARGET_ID	MATCHES
348	9	15	0
349	9	17	0
350	9	16	1
351	9	19	0
352	9	20	0
353	9	21	0
354	9	22	0
355	9	23	0
356	9	24	0
357	9	25	0
358	9	26	0
359	9	27	0
360	9	28	0
361	9	29	0
362	9	39	0
363	9	30	2
364	9	104	0
365	9	40	0
366	9	105	0
367	9	106	0
368	9	108	0
369	9	107	0
370	9	109	0
371	9	110	0
372	9	111	0
373	9	112	0
374	9	113	0
375	9	114	0
376	9	115	0
377	9	122	0
378	9	117	2
379	9	123	0
380	9	124	0
381	9	125	0
382	9	126	0
383	9	127	1
384	9	128	0
385	9	131	0
386	9	132	0
387	9	134	1
388	9	135	1
389	9	136	0
390	9	138	1
391	9	140	1
392	9	141	0
393	9	142	0
394	9	145	0
395	9	143	1
396	9	144	0
397	9	147	0
398	9	149	2
399	9	148	0
400	9	150	0
401	9	146	4
402	9	152	0
403	9	153	0
404	9	154	0
405	9	155	1
406	9	156	0
407	9	157	0
408	9	158	0
409	9	159	0
410	9	160	0
411	9	161	0
412	9	162	0
413	9	163	0
414	9	164	0
415	9	165	0
416	9	166	0
417	9	167	0
418	9	169	0
419	9	168	1
420	9	170	0
421	9	171	0
422	9	175	0
423	9	176	1
424	9	174	0
425	9	177	0
426	9	178	0
427	9	179	0
428	9	180	0
429	9	183	0
430	9	190	0
431	9	205	0
432	9	207	0
433	9	206	0
434	9	208	0
435	9	209	0
436	9	210	0
437	9	211	0
438	9	212	0
439	9	213	0
440	9	221	0
441	9	222	0
442	9	231	0
443	9	220	2
444	9	232	0
445	9	223	1
446	9	233	0
447	9	234	0
448	9	235	0
449	9	236	0
450	9	239	0
451	9	244	0
452	9	241	0
453	9	245	1
454	9	243	1
455	10	11	0
456	10	12	0
457	10	13	0
458	10	14	0
459	10	15	0
460	10	16	0
461	10	17	0
462	10	19	0
463	10	20	0
464	10	21	0
465	10	22	0
466	10	23	0
467	10	24	0
468	10	25	0
469	10	26	0
470	10	27	0
471	10	28	0
472	10	29	0
473	10	39	0
474	10	30	1
475	10	40	0
476	10	104	0
477	10	105	0
478	10	106	1
479	10	108	0
480	10	107	0
481	10	109	0
482	10	110	0
483	10	111	0
484	10	112	0
485	10	113	0
486	10	114	0
487	10	115	0
488	10	122	0
489	10	117	0
490	10	123	0
491	10	124	0
492	10	125	0
493	10	126	0
494	10	127	1
495	10	128	0
496	10	131	1
497	10	132	0
498	10	134	0
499	10	135	1
500	10	136	0
501	10	138	0
502	10	140	0
503	10	141	0
504	10	142	1
505	10	145	0
