ὁμοιοσχήμων,ὁμοιοειδής,λογοποιικός
εἰρηνικός,εἰρήνη,εἰρηνεύω
συφορβός,συβώτης,συφορβέω
γήπεδον,γεώπεδον,τέτρωρον
ψευδοκλητεία,ψευδώνυμος
τηλεδαπός,τηλέπορος,ἕκαθεν
ἔφηβος,ξανθίας
ξυσματώδης,πλήθω,καταγέμω
δηλέομαι,σίνος,ἀρχέκακος
καταφρόνημα,ὑπεροψία,καταφρόνησις
ἀμπελών,ἀμπελουργεῖον
ἐπαθρέω,προσοράω,ἐπιδέρκομαι
ὁμοπάτριος,ὄπατρος,φύτωρ
ὀργίλος,ἀόργητος
ἄγοος,ἀνοίκτιστος,ἀνοίμωκτος
πορθέω,προσδηλέομαι
ἑπτάστερος,ἑπτά,ὕπαστρος
ὑποφεύγω,ἠλασκάζω
μέλεος,δαϊόφρων,πάνοιζυς

παρόραμα,ἀβλέπτημα
ἐπαναπλέω,ἀντεπανάγομαι
οἰκειόω,καρυκοποιέω
ἐρίβρομος,βριήπυος,βαρύκομπος
ἀπόφραξις,συμπλήρωσις,χῶσις

ἐξαργέω,περιπλήθω,ἀμφιστρόγγυλος

ἐπιφημίζω,ἐπονομάζω
ἀκριβολογέομαι,ἐξακριβόω
προφοβέομαι,προδειμαίνω,προταρβέω
πολυθρέμματος,πολυπρόβατος,πλουτέω
τίλλω,ἀποδρέπω,παρατίλλω
κακοποιέω,κακοπραγμονέω
σκολοπενδρώδης,σκολόπενδρα
συνθραύω,ἀποθρύπτω,συνάγνυμι
παρακόπτω,ἀρταμέω
θάκησις,θάκημα,ἐνθάκησις
ἐκκρήμναμαι,ἐκκρεμάννυμι,καταιωρέομαι
ἀνιάομαι,διακέομαι,ἀνακέομαι
ὑπονομή,ὑπονομεύω
μόσχιος,μοσχάριον,μόσχειος
τροχαλός,θέω
ὑδρηλός,ὑδατεινός,ὑδροειδής

αὐτοκέλευθος,κελεύθειος,κελευθοποιός
ἀποξενόω,ἀνδρηλατέω

σκυτικός,σκυτοτομία

ἀποθυστάνιον,κόνδυ,συμποσία
θυίω,ἐνθεάζω,θεόπνευστος
θυμόσοφος,ὑπέρσοφος
θυία,ἄρκευθος
βαρυοδμία,ὄσμησις
κόκκος,πρῖνος
προσωνέομαι,ἐκπρίασθαι,πρίαμαι
ὁμέψιος,συμπαιστής,ἀστραγάλισις
αἴσθησις,αἴσθημα,ἐπαίσθημα
ἀποβλάστημα,ἐρνόομαι,ἐπιτοξάζομαι


συγκατήγορος,κατηγορητής
παμφαής,παμφανόων,φοῖβος
ἐπιδορπισμός,ἐντραγεῖν,ἀποτράγημα
διημερεύω,ἡμερήσιος,πανημέριος
ἀπαείρω,μεταναστεύω,προαποχωρέω
ἐπίταξις,κελευσμός,κέλευσις

ἀλαπάζω,σειρέω
ἰονθάς,λαχνόγυιος,δασυπώγων

ἀκιδνός,ἀβληχρός,ἄρρωστος
ἐξαυλίζομαι,κατασκήνωσις
ἐπέμβασις,κλιμακόεις
πολυσημάντωρ,πολύαρχος,πολυφάνταστος
προσβάλλω,ἐμβάλλω
προδυστυχέω,ἀκληρέω,κακοτυχής
ἁρπάξανδρος,ἀναρπάγδην
πολύκριτος,διαχωρίζω,διασταθμάομαι
ἐϋμμελίης,μέλινος,λογχήρης
ἐποίχομαι,συμβαδίζω
ἐνῆμαι,θράομαι,ἔφημαι

πυράγρα,λαβίς
ἰχθύδιον,θρίσσα,περσεύς

ἑκατοστός,πεντακοσιοστός,διακοσιοστός
ὀλιγοχρονέω,μίνυνθα,ἐλαχυπτέρυξ
θηητήρ,θαυμαστής,φιλαριστοτέλης
ἐπισυνάπτω,προστιμωρέω
εὐάν,κίσσινος
παραβλαστάνω,ἐρνόομαι,ἀναβλαστάνω
ἀπογίγνομαι,ἱερομνημονέω
ἐρέθισμα,παραπικρασμός,διερέθισμα
ἐοικότως,εἰκότως
ἀνείργω,ἐρύκω
σκέψις,σκέμμα
ὕβριστος,λωβήεις,ὑβριστικός
προεκκαθαίρω,φοιβάω,ἁγνίζω
φυτικός,φυτόομαι
βληχωνίας,βλήχων,κινναμώμινος
τελεόμηνος,πλήθω
τριετηρίς,τριέτηρος,τριετία
φίλυπνος,φιλοδίκαιος,φίλανδρος
ἐπιπηδάω,θουράω,ἐνορμάω
μιμητός,μιμηλός,εὐμίμητος
μαχαιροφορέω,κροκωτοφορέω,ἐκκναίω

περιχαίρω,ὑπερχαίρω,συγγηθέω
λυρίζω,φορμίζω,ἀντίλυρος
ἀναξύω,κνηστός

παιδαγωγέω,ποδηγέω
εὐρύνωτος,βραχύνωτος,φοινικόνωτος
ἔα,καχάζω
ἰάσιμος,ἰατός

βαλανηφάγος,τραγηματισμός,ἄκυλος
παρεξειρεσία,πηδόν,φιλήρετμος



ὀχεύω,βατέω,κατειλύω
πρωτάγγελος,προάγγελος
νομοθέτημα,θεσμός,ἀνομοθέτητος
τετράκυκλος,ἑξάκυκλος,ἀργυρόκυκλος
ὀρχιπεδίζω,ὀρχίπεδον
προσικνέομαι,ἐξικνέομαι,ἐφικνέομαι
πρημαίνω,προσφυσάω,ἐπιπνέω

ἐκσαλάσσω,διατινάσσω,κλαδάω
εὔοικος,δαρεῖος

ὁ,οὗτος

θρᾳκιστί,σιθωνία,θρᾷσσα
νεανίευμα,ἔνθυμος
ζέσις,πάφλασμα,ἀνάζεσις
δέρρις,δερμάτινος,στέρφος
ῥαδινός,μακεδνός
ἀγγελιαφόρος,κοιτωνίτης,ἀγγελιώτης
διαπορθμεύω,συνδιαβιβάζω
φοιτητός,αἰγιάλειος,ἐπιφοίτησις
ἐξιδιάζομαι,ἐξοικειόω
ἰαμβίζω,ἴαμβος
ἐργοπόνος,θηρευτής

θάπτω,μόριος,ταφήϊος
κατάντησις,ἰτητικός
ὁμοιοειδής,εἶδος
προσμεταπέμπομαι,ἐπιμεταπέμπομαι,ἐπιπέμπω
λιπαρόζωνος,εὐφαής
καταπερονάω,πασσαλεῖον
μεγαλαυχέω,περπερεύομαι,ἐπικομπέω
εἰσίημι,παρεισπέμπω,διαφρέω
παιδομαθής,μαθητός
ἑπτακαιδεκάπους,ἑπτακαίδεκα,δεχεπτά

παραφεύγω,ὑπεκπροφεύγω
κονιάζω,τεφρόω,αἱμόρραντος

πόσθη,σάθη,ψωλή
παρακτάομαι,προσεπιδίδωμι,προσέτι
ὅπλισμα,στράτευμα
διχόρροπος,ἐνδοιαστός

παππίζω,προσπερικόπτω
οἶδμα,ἐξόγκωμα,στερνοῦχος
διφαλαγγία,τριφαλαγγία
σκῆψις,ἐκλογέω,πρόφασις
μοιρόκραντος,κάμμορος
συσπεύδω,συγκατασκευάζω
γογγυλάτης,δίγληνος
νεοδαμώδης,νεοπολίτης

φρικιάω,φρίσσω,καταρριγέω
ἐνυγροθηρευτής,γρίπων,ὁρμιατόνος
φιλοπότης,οἰνοποσία,φιλοποτέω

παραβιβάζω,παραβατικός

παλαιστρικός,παλαίστρα
ἀλγίων,ὀδυνηρός,ἀλγινόεις
ἐλάττωσις,ἀπάλλαξις
ἀσελγής,λωβήεις
εὐρυόδεια,πλακερός,εὐρυρέεθρος
καταθλέω,προασκέω,γύμνασις
ἀχρηστέω,ἄχρηστος,ἀχρηστόω
εὐσέβεια,ὁσιότης
ἐρύγμηλος,ἐρίμυκος,ταυρόφθογγος
τορνευτολυρασπιδοπηγός,λυροποιός

ἀποβολεύς,μονόφθαλμος,τεκνολέτειρα

ᾠδός,φορμικτός

πλημμέλημα,ὑπερβασία
ἀναφοβέω,δειματόω,ἀντικαταπλήσσω
ὑποτρόπιος,τροπιδεῖον,δρύοχοι
προσέλκω,προσεπισπάομαι,προσπάω
ἀντοικοδομέω,ἐντειχίζω,τειχέω
μαστιγοφόρος,ἀπομαστιγόω

κελαινόφρων,μελανοκάρδιος,περίσπλαγχνος
ξυήλη,καινίς
χείρων,ἐλάσσων,χειρόνως
τεσσαρακοσταῖος,τεσσαρακοστός
δημοκοπία,ὀχλοχαρής,δεκασμός
σημασία,ὀπτασία
ἀχανής,ὑπόφαυσις
ἐρχατάομαι,συγκαθείργω,εἰσέργνυμι

εὐρυάγυια,ἄγυια,ῥυμοτομία


προσορμίζω,περιορμίζω,προσορμέω
δυηπαθής,ὀδυνώδης,ἐπαλγής
ὑπερόριος,ἀλλοδημία,ξένη
δάσσω,εἰραφιώτης,κρηνίς
ὑπαλείφω,ὑποχρίω
διαπατέω,καταστείβω,στείβω
ἀποσημαίνω,ἐννεύω
ἐπικωλύω,κωλύω,ἐμποδίζω
αὐτόσε,ἐκεῖσε
κυνοκοπέω,κυνηδόν,κυνιστί
τῦφος,ψυχρολογία,πλαδδιάω

πρεπτός,φερεκυδής,κλεινός
ἀπεκδέχομαι,παρερμηνεύω

ἐρικλάγκτης,εὔκομπος,ἀγάφθεγκτος
παραιτέομαι,αἰτίζω
λιπάω,αἰγλήτης


ᾀσματοκάμπτης,στρόφις,βακχέβακχον
φθισικός,φθοώδης,φθινώδης
κελτίβηρες,κελτοσκύθαι

κατασπειράω,σποραδικός,σποράς
ἐμπέραμος,παγκρατιαστικός,χαλκεομήστωρ
ἐντυλίσσω,ἐγκορδυλέω,ἐνείλλω

πήγανον,πηγάνινος
γυναίκισις,γύννις,γυναικόθυμος
μνημοσύνη,μνημόνευσις,μνημονικός

βότρυς,βοτρυδόν
ποταμόκλυστος,ἔκπλυτος,πλυτός
περιναιετάω,περιναίω,παροικέω
νῦν,ἄρτι,ἀπαρτί
ἁδρόομαι,εὐπηγής,εὔρωστος
ἀλλογλωσσία,ἀλλόγλωσσος,κλαγγαίνω
προσάνειμι,περιπόλιος
δύσμαχος,ἀκαταγώνιστος,δυσπαρακόμιστος
παρακλέπτω,λαικάζω,διαχλευάζω
ψακάς,στάγδην

ἀμφηρεφής,ἐπικάλυπτος,εὐσύγκρυπτος
ὀρείχαλκος,χαλκοειδής,χαλκῖτις
ἀνεξέταστος,ἀνεξερεύνητος
ψηφίζω,γνωμηδόν,ὁμοψηφέω
τοῖχος,αἱμασιά,τεῖχος
ναυαγία,ναυαγέω
δέκτης,μεταίτης,προσαίτης

θεράπνη,λάτρις
ἀπαστράπτω,ἀπαυγάζω,στράπτω
λατομεῖον,λιθουργεῖον,λατομέω
καλλίπρῳρος,εὔμιτρος,καλλι
εὐήθης,ἁπλόος,εὐηθικός
ἄκουσμα,θρόος
ἀγχιστεύς,ἀγχιστεύω
λείριον,νάρκισσος
ταναόδειρος,δολιχαύχην,μακροτράχηλος
ἑψητός,ἀνάβραστος,ἑψανός
ἀγέλη,ἱπποφόρβιον,βουφόρβια

ἐπιστέλλω,προστάσσω
ὑπέρτερος,κρείσσων
χρυσοκάρηνος,χρυσίον,χρυσεοπήνητος
τετραθέλυμνος,τετραβόειος
χλανίδιον,χλανίς
ὕθλος,φλήναφος,πλαδδιάω
ἀνάσιμος,ἀποσιμόω,σιμοπρόσωπος
ἐκφροντίζω,ἐνευρίσκω,ἀνευρίσκω
πανόψιος,πανδερκής,πανόπτης
χωρεπίσκοπος,ὁμοπράγμων
τετραπλῇ,τετραχῶς,τετραπλόος
κατακολλάω,κολλοπόω
πολυσχιδής,πολύσχιστος
μεταδαίνυμαι,συμμεταλαμβάνω,συνδαίνυμι
ποντομέδων,ἀναξίαλος,θαλασσομέδων

κατατρίβω,τρίβω,ἐκκναίω
ἐνδιάκειμαι,ἐπιρρύζω,χωράζω
σηπία,βολβάριον

μακρόθυμος,ἀσκίτης

διάνοια,νόημα,διανοητικός
ὄναρ,ἐνυπνιάζω,εἰκελόνειρος
δεῖξις,ἐπίδειξις
ἐπιτροφή,βιοτή,διατροφή
φιλέλλην,κέρκυρα,συράκουσαι
συγκοιμίζω,ζεύγνυμι
προδιοικέω,δυσδιοίκητος
καλλιζυγής,ζυγωτός,καλλιγραφέω

πημαίνω,ἀντιβλάπτω
ἀχάριτος,ἄχαρις,ἀναίσιμος
τοπικός,ἐντόπιος
καταιβατός,ἐπικάτειμι
ὑπέρπτωχος,πενέω,γεωπείνης
νεᾶνις,καλλονή
παραίτιος,μεταίτιος
κυρήβια,πίτυρον,ἄχυρον
σώρευσις,νῆσις,παρέγχυσις
ἐγκλιδόν,δόχμιος
κολλύριον,μουσάριον


κακοδαιμονάω,κακοδαίμων
πνιγώδης,πνιγηρός,πνῖγος
ὄθομαι,ἀλέγω,προευλαβέομαι
πελαργιδεύς,πελαργικός,πελαργώδης

καταγορεύω,προσαγγέλλω
συγκληρόω,ἐπικληρόω,κυαμεύω
ἀπόλεμος,φυγαίχμης
τιμητεύω,τίμησις


κερματίζω,κατακερματίζω
συμπράσσω,συγκατεργάζομαι
πολυδικέω,φιλόδικος
πυρακτέω,ἀντικαίω,προσκαίω
ἐπαρκούντως,διαρκούντως,ἀποχρώντως
πρόξ,δορκάς
ἕνωσις,συνοίκισις,συμπίεσις
δίψησις,δίψα,συνδιψάω
ἀποδοχή,πρόσδεγμα,δοχή

ἴδρις,δαήμων
ἀπρέπεια,δυσμορφία

παλαιός,κρόνιππος

συμμηχανάομαι,μηχανορραφέω
πάγκλαυστος,εὐδάκρυτος,ἀμφιδάκρυτος
προγένειος,μακροπώγων,δασυπώγων
ἐπιπαραγίγνομαι,ἀφικνέομαι
ἀπερητύω,κατακωλύω,ἐρύκω
αὐτοπάτωρ,αὐτολόχευτος
διάρρους,δίαρμα,διήλυσις
ἄδουλος,μονοστιβής

συλλεῖα,μισοσύλλας
σελαγή,στέροψ,ἀστραπηφόρος
θανάσιμος,κανθαρώλεθρος,θάνατος
καταζαίνω,ἀφαύω,ἐξαυαίνω
εἰ,εἴπερ,οἱονεί
χρυσόθρονος,εὔθρονος,ὁμόθρονος
τρισολυμπιονίκης,κρατησίπους
λαιμοτόμος,λαιμότμητος,ἀναπότμητος
ἀκταινόω,ἀναίρω,ἀναβαστάζω
προεισπέμπω,προεκπέμπω,προεξαποστέλλω
συνδιαιτητής,συμβιωτής
ἀντίληψις,ἐπιλαβή
καθαριόω,ἀποκαθαρτέον
κλέω,κλεεννός
κηρύκειος,προσκηρυκεύομαι,κηρυκεύω
ἀκόμψευτος,ἄκομψος
ἀμφιμάσχαλος,ἀνθοπλίζω,ἐπωλένιος

φιλότης,στοργή,φιλοστοργία
μετρηδόν,στοιχηγορέω,μεληδόν
ἀδίκημα,ἀδικέω,προσαδικέω

ἰατροτέχνης,σαλώμη

ἰκριόω,ἴκρια

οὐρανοῦχος,οὐρανός,οὐράνιος
προστέρπω,φιληδία,χαριτογλωσσέω
φλέψ,διασχάζω,φλεβοτομέω
ὑψίζυγος,ὑψίθρονος,ὑψιτενής
συνεσθίω,ἐξεσθίω,κατατρώγω
περίρροια,περιρροή
ἀντίφασις,ἀντίλογος,ἐναντιολογία
νευροσπαδής,ἐρυστός,ἀνερέπτομαι
κατάσβεσις,ἐνδυτήρ,περίθεσις

νημερτής,ἀτρεκέω
συναίρεσις,συστολή
συροπέρδιξ,πέρδιξ,ἐκπερδικίζω

μεταχειρίζω,χειραπτάζω
κακηγορέω,κακορρημοσύνη,κακηγορία
ἀποικίζω,πέμπω
θαυμάσιος,ἀγητός
ἐκβιάζω,βιάζω
κάθαρσις,ἀνακάθαρσις
κιρρός,σανδαράκινος
φοινικοδάκτυλος,ἐρυθροδάκτυλος
εὔσπλαγχνος,ἑπτάζωνος
ἀποξύω,ἐκκνάω,ἀποστλεγγίζω
συναγυρτός,παλίλλογος,εὐσυνάγωγος
παρεισπίπτω,ἀντεκκλέπτω
εὐβουλεύς,βουλήεις,δυσβουλία

οἰστρομανής,λυσσαλέος,λυσσάς
ἄληκτος,ἑανός
ὑφηγητής,εἰσαγωγέω,φράστωρ

ἀλωπεκιδεύς,ἀλωπέκειος,λυκιδεύς
ἱερά,γράα,μόλουρος
παλαιόφρων,φρόνις,ἀκρόσοφος
ἀνάντης,ὀρθόπαγον
λαθητικός,λάθος
εὐγεφύρωτος,γεφύρωμα,δυσγεφύρωτος
μεγαλήγορος,μεγαλορρήμων
ἐνυφαίνω,συγκερκίζω
καταβλέπω,καταθεάομαι
εὔχυλος,ἔγχυμος,νήχυτος
ἄτριχος,τρίχωμα,ἄθριξ
δυσέμβατος,ἀπρόσβατος,παιπαλόεις
ἐκφωνέω,κατάφημι
ἀνθησσάομαι,ἀντενδίδωμι,συνείκω
μουσική,χαλκοτυπική
συνδιασκοπέω,διαθεάομαι,συνδοκιμάζω

πατροκασίγνητος,πατράδελφος,πάτρως
ἐρωτύλος,φιλτάτιον,μαλακίων
τεχνόω,φιλότεχνος
ἐπίδειξις,ἀπόδειξις
χαλκοπάρῃος,χαλκόπλευρος
συνεπιβλάπτομαι,σιναρός,χωλόομαι
σκιμαλίζω,τωθάζω
συλλαλέω,προσλαλέω,διαλαλέω

ἐκχέω,κατεράω,ἀποσπένδω
συγκαταψεύδομαι,ἀντικάθημαι,ἐγκατάκειμαι
ἀνάπνευσις,ἔμπνοια

σύμψηφος,ὀστρακοφορία,ψήφισις
συστεγάζω,συσκεπάζω,κατασκεπάζω
ἀναρροιζέω,ἐνορμάω,ἐπαιγίζω
ὑμέναιος,γαμοδαίσια,γαμήλιος
ἐπιτήδευμα,ἔθισμα
κορμός,μονόξυλος

καταστεγάζω,κατερέφω,ὀροφόω
καταναίω,ἐγκαταναίω,συγκατοικέω
ἀνακρεμάννυμι,ἀπαρτάω

πληκτικός,κρουστικός,βαθυπλήξ

συνέξειμι,συμπρόειμι,συνεπείσειμι
ὑπόπυρρος,ἐνέρυθρος,ὑπέρυθρος
προεκδίδωμι,προδιαφθείρω
ἔμφοβος,πτυρτικός
συγκρημνίζω,συγκατακρημνίζω,κατακρημνίζω
εἱλωτικός,εἱλωτεία
λιπαρία,προσλιπάρησις
τωθασμός,φιλοκέρτομος,χλευασία
πέμμα,πλακουντάριος
θεοχόλωτος,μηνιθμός,μῆνις
μυρίος,δεκάχιλοι
ἐπαφρόδιτος,ἐρόεις
ὀρθόμαντις,κακόμαντις,ψευδόμαντις
ἰσοέτηρος,κάτισος,ἀπισόω
ἐπιφαίνω,φαίνω,προφαίνω
πιθάκνη,πίθος,σταμνίας
οἰκετικός,οἰκέτης
πνευμονίας,πλεύμων,περιπλευμονία
καλλώπισμα,προκόσμημα
ἐννέωρος,εἰναετής,ἐνναέτης
ἐναρίμβροτος,ἀνδρειφόντης,τιτυοκτόνος
δυσσύνοπτος,δυσπερίληπτος,δυσεκπόρευτος
ἐπιστρατεία,ἐπιτειχισμός,ἀντεπεξάγω
φλόος,λεβηρίς
κανηφορέω,κόφινος

κράτιστος,ἄριστος,πανάριστος
καταίσιος,εὔδικος,εὐθής
μητρυιά,μητρυιάζω
συνεπεμβαίνω,ἐπαναβιβάζω
ταναῶπις,εὐδρακής,ὀξυβλεπτέω
ἀνέγκλητος,ἀψεγής
χλοεροτρόφος,χλοηφόρος,ὑαλώδης

φιλόνικος,φιλονικέω,νίκη
ἀποπαρθενεύομαι,παρθενεία,παρθένια
ἀγχιτέρμων,ἀγχίγυος,ἀγχιγείτων
κορωνισταί,βακχέβακχον

πυρσοφόρος,πυρφορέω,ἐσχαρίς
παρίημι,μεθίημι
ἐκκναίω,ἐκτρύω,κροκωτοφορέω
ἄρκος,δύστλητος,καρποφορέω
ἀποσχοινίζω,ἀπίλλω
ὠμοσπάρακτος,διασπαρακτός,ὠμοθετέω
φίλτρον,στέργημα,στέργηθρον
ὀχυρός,εὐσθενής,εὔρωστος
εὐόρκωμα,εὔορκος,ὅρκος
δαρτός,δρατός,νεόδαρτος
ποτή,πτῆσις,φύγδα

γλωττοστροφέω,κλαγγαίνω
διαρίθμησις,ἀρίθμημα,διαψηφισμός

πολυάνωρ,πολύανδρος,πολυφάνταστος
ὄρνυμι,ἐνόρνυμι

ναίω,ναιετάω,ἐνοικέω
πρόκλησις,προκαλέω,προκαλίζομαι
ὁμόνομος,θεσμοποιέω

καταπάτησις,πατησμός
ταινιόω,λιπαροκρήδεμνος,παραμπυκίζω
καθώς,ὡς,ὁπόσος
διαψιθυρίζω,ψιθυρίζω
καταθλάω,συνθρύπτω,καταλοάω
κατάφορτος,ἔμφορτος,κατάγομος
ἀνέφικτος,ἀπρόσικτος,ἀνέτοιμος
θεμέλιος,οἰκισμός,θεμελιόω
ἰχωροειδής,ὀρώδης
τερθρεία,τερθρεύομαι
διάγνοια,βουλευτός
πάμμορος,πανάποτμος
διαπατάω,λαικάζω,διαχλευάζω
ἀποστρατοπεδεύομαι,ἐνστρατοπεδεύω,προσστρατοπεδεύω
αὐτόδαιτος,συνδαίνυμι
καταπλαστός,καταπλάσσω
εὐασμός,ἐλελεῦ,ἐπαναβοάω

νεόκροτος,τήνελλα

βαρέω,βαρύθω,βαρυθυμέω
ῥιπτός,ῥῖψις,δημορριφής
παντοποιός,ἀητόρρους
προσμηχανάομαι,περιμηχανάομαι
λεαίνω,ἐπικαταψήχω,ἐκλεαίνω

κυρέω,ἐφικνέομαι
συνεκπονέω,συγκατεργάζομαι

σήκωμα,σταθμόν,βρῖθος
ἀποσυμβουλεύω,ἀπομυθέομαι
λίκνον,πτύον,ἀθηρηλοιγός
μνῆμα,μνημεῖον
κακοτυχής,ἀκληρέω,δυστυχέω
σκύζομαι,ἐπιμηνίω,ἐξαγανακτέω
ἴχνος,στίβος
ἐνταῦθα,ἐνθάδε,οὗτος

πρόπας,πανσυδί,παννύχιος
πρόπαρ,πρόσθεν,προπάροιθε
ἄνδιχα,διχθά
ἀπαρύω,ἐξοχετεύω
εὐνάζω,εὐνάω
σποράζω,ἀνασπαράσσω
ἀμφινέμομαι,περιναίω,συγκατοικέω
γυμνόπους,νηλίπους
μεγαλοπραγμοσύνη,μεγαλοεργία
χολλείδης,χολαργεύς,κομπασεύς
προσπίπτω,περιπίπτω,πίπτω

δοκέω,προδοκέω
βαρύδεσμος,χαλκοβαρής
παφλάζω,ἐμβρέμομαι
διαδικασία,δικάσιμος
ἐπικατασφάζω,συγκατακτείνω,προαποσφάζω
προμαντεύομαι,θεσπίζω,προθεσπίζω

ἀδολεσχία,ἀδολεσχικός

καταγελάω,ἐγγελάω,ἐπιμύσσω
μισθοφορία,ὑπηρέτησις,δρηστοσύνη
ὁμαρτέω,συμπαρομαρτέω

ἐκβαρβαρόω,βαρβαρόω,βρέττιος
εὔγραμμος,εὖ

ἀπύθμενος,νειόθεν,πύνδαξ
κείω,ἐγκατάκειμαι,καταλέχομαι
διατακτέον,καταδίδωμι

ἰσοπολιτεία,ἰσοκρατία
ὄρομαι,ὑπεραγρυπνέω,ἐπικοιτέω
συνεμβάλλω,συνεισβάλλω
ἀντιπροαίρεσις,πρόκρισις
τέκνωσις,τεκνοποιία,εἰσποίησις

χρυσάρματος,θῆσσα,σατίνη
ὀργυιαῖος,εὐρύχωρος
εὐαγγέλιον,εὐαγγελία,πευθώ

ἐγκαταζεύγνυμι,προσοικειόω,ἀπρόσοιστος
ἐπαλαζονεύομαι,ἐπικομπέω,ἐξεύχομαι
ἀμαθώδης,ψαμαθώδης,ἠμαθόεις
ὀκτάκις,ὀκτάς,ὀκταπόδης

ἀξιοκοινώνητος,ἀξιόνικος,πανάξιος
ἄφρων,ἐπιβρόντητος
ἀρθρῖτις,ἀρθριτικός,ἄναρμος
κωματώδης,νωθώδης,λήθαργος
ἐπίπεδος,ἰσόπεδον
ἐπιζάω,περιλείπομαι

ἐπιρράσσω,ἐναράσσω,προσαράσσω
φυκίον,φῦκος

παιδονόμος,γυναικονόμος,παιδευτός
αἱμάλωψ,αἱματηρός,αἱματώδης
ἀγνόησις,ἀγνόημα,δύσγνοια
αὐταρκέω,ἀντιχράω,ἐπάρκιος
νομοφύλαξ,θεσμοφύλαξ
δολίχαυλος,αὐλῶπις,δηθά
ἀγρός,παφλαγών
διήλυσις,ὅδευσις,διέκπλοος
βου,πέλωρος
ἐπίχολος,πικρόχολος,χολώδης
κλαυσιάω,συγκλαίω,ἀποδακρύω
λεπταλέος,ἑανός

ἑπτάπηχυς,τρίπηχυς,ἑξάπηχυς
μελίκομπος,μελίγδουπος,εὔγηρυς
σφύζω,ἀπορράσσω
ὀχλώδης,δημότερος
ψευδάργυρος,ἀργύρειος
ἔθος,ἔθισμα,ἕξις
κνῦμα,ἄμυγμα,γραπτύς
αὐτοφόρητος,ὑγροφόρητος,φοράδην
ὁμοτέρμων,ὅμορος
χελύνιον,δεκέλεια
περιέσχατα,ἀκραῖος
ὀχυρότης,στερρότης,ἐχυρότης

ἐρέβινθος,σάθη
πεῖσμα,ναύδετον
παρακαταβαίνω,συναποβαίνω
